date	high.temp	avg.hi.temp	avg.lo.temp	low.temp	precip	snowfall	precip.days	snowfall.days
1876-01	20	6.1	-1.4	-11.1	23.9		11	
1876-02	13.3	3.8	-3.6	-15	122.2		14	
1876-03	18.9	5.6	-2.7	-12.8	223.3		13	
1876-04	20.6	12.9	4.1	-1.7	77.7		9	
1876-05	30.6	20.2	10.9	2.2	77		9	
1876-06	33.3	27.3	19.1	9.4	67.6		9	
1876-07	36.7	30.3	22.2	16.1	92.7		9	
1876-08	33.9	27.9	20.1	13.9	57.9		3	
1876-09	30.6	20.6	14.7	9.4	134.1		13	
1876-10	23.3	14.3	6.9	0	36.1		10	
1876-11	22.8	9.8	4.8	-7.2	84.1		13	
1876-12	9.4	-0.5	-7.2	-16.1	64.5		8	
1877-01	8.3	0.7	-5.5	-11.7	66.5		11	
1877-02	14.4	6.4	-0.7	-8.3	31.5		6	
1877-03	13.9	5.8	-1.3	-12.2	141.2		16	
1877-04	24.4	12.9	4.7	-1.1	69.3		8	
1877-05	31.1	19.8	10.7	2.8	24.1		11	
1877-06	31.7	25.4	16.9	11.1	71.1		10	
1877-07	33.3	27.7	20.3	14.4	145.5		11	
1877-08	32.2	27.9	20.5	17.8	70.4		10	
1877-09	29.4	23.7	15.5	8.9	33.8		5	
1877-10	24.4	17.1	9.3	3.3	206.8		12	
1877-11	20	10.3	3.2	-4.4	143		12	
1877-12	15	6.4	-0.4	-6.7	17.3		4	
1878-01	10.6	2.5	-4.8	-13.9	113.3		15	
1878-02	13.3	3.6	-3.3	-13.9	95.3		7	
1878-03	20.6	11.2	2.4	-10.6	83.1		13	
1878-04	24.4	15.6	8.5	5.6	50		9	
1878-05	28.9	19.4	11	4.4	81		9	
1878-06	31.7	24	15.6	9.4	78.2		9	
1878-07	34.4	29.5	21.5	17.2	117.3		9	
1878-08	32.2	26.9	20	15	202.4		12	
1878-09	32.2	23.6	16.6	7.2	102.9		7	
1878-10	26.7	18.8	10.9	3.9	61.7		7	
1878-11	15.6	9.7	3.7	-1.7	120.1		11	
1878-12	15.6	3.4	-2.1	-10.6	130.6		8	
1879-01	11.1	0.8	-7.4	-20	66.8		8	
1879-02	11.1	1.3	-5.8	-12.8	51.3		10	
1879-03	20.6	8.4	0.3	-7.8	86.6		14	
1879-04	24.4	13.8	5.2	-3.9	110		11	
1879-05	30	21.8	12.6	5.6	51.3		9	
1879-06	33.3	25.6	16.4	8.3	80		15	
1879-07	36.7	28.2	19.5	14.4	90.9		11	
1879-08	33.3	26	18.5	12.8	201.9		9	
1879-09	30.6	21	13.6	6.1	60.7		8	
1879-10	29.4	19.9	11.7	-1.7	10.9		8	
1879-11	24.4	9.7	2.4	-8.9	55.9		11	
1879-12	17.8	6.5	-1.1	-12.2	125.5		11	
1880-01	18.3	7.6	0.4	-8.3	51.3		11	
1880-02	20.6	7.1	-2.1	-13.9	53.8		12	
